1	yī,yāo,1
2	èr,liǎng,2
3	sān,3
4	sì,4
5	wǔ,5
6	liù,6
7	qī,7
8	bā,8
9	jiǔ,9
0	líng,0
A,a	A,a,ei
B,B,b	B,b,bi
C,c	C,c,si
D,d	D,d,di
E,e	E,e
F,f	F,f
G,g	G,g
H,h	H,h
I,i	I,i
J,j	J,j
K,k	K,k,kei
L,l	L,l
M,m	M,m
N,n	N,n
O,o	O,o
P,p	P,p
Q,q	Q,q
R,r	R,r
S,s	S,s
T,t	T,t,ti
U,u	U,u
V,v	V,v
W,w	W,w
X,x	X,x
Y,y	Y,y
Z,z	Z,z
齐	zhāi
区	gōu
啊	a
从	zòng
骑	jì
〇	líng
匮	guì
更	jīng
一	yāo
帧	zhēn
许	hǔ
啫	zé
唛	mà
镋	dǎng
波	pō
谟	mú
蚵	é
讷	nà
呒	wǔ
闫	yán
得	dǎi
烃	jǐng
什	shé
着	zhù
狆	chōng
嗯	en
于	wū
曝	bào
荨	tán,xún
唔	ńɡ
克	kēi
选	shuā
狸	mái
叠	dá
县	xuán
萑	wán
曜	yuè
乐	yào
大	tài
价	ga
适	dí
只	qí
哈	kā
啪	pià
赣	gòng
蝐	mèi
日	mì
般	bō
摸	mú
劵	quàn
ㄚ	yā
戛	gā
岂	kǎi
